,title,authors,venue,year
B_1467,opossum : desk-top schema management through customizable visualization,"eben m. haber , yannis e. ioannidis , miron livny",very large data bases,1995
B_1468,sampling-based estimation of the number of distinct values of an attribute,"peter j. haas , jeffrey f. naughton , s. seshadri , lynne stokes",very large data bases,1995
B_1469,a practical and modular implementation of extended transaction models,"roger s. barga , calton pu",very large data bases,1995
B_1470,os support for vldbs : unix enhancements for the teradata data base,"john catozzi , sorana rabinovici",very large data bases,1995
B_1471,an efficient algorithm for mining association rules in large databases,"ashoka savasere , edward omiecinski , shamkant b. navathe",very large data bases,1995
B_1472,managing intra-operator parallelism in parallel database systems,"manish mehta , david j. dewitt",very large data bases,1995
B_1473,efficient incremental garbage collection for client-server object database systems,"laurent amsaleg , michael j. franklin , olivier gruber",very large data bases,1995
B_1474,providing database migration tools - a practicioner 's approach,andreas meier,very large data bases,1995
B_1475,a performance evaluation of oid mapping techniques,"andr &#233; eickler , carsten andreas gerlhof , donald kossmann",very large data bases,1995
B_1476,using formal methods to reason about semantics-based decompositions of transactions,"paul ammann , sushil jajodia , indrakshi ray",very large data bases,1995
B_1477,bypassing joins in disjunctive queries,"michael steinbrunn , klaus peithner , guido moerkotte , alfons kemper",very large data bases,1995
B_1478,estimating the selectivity of spatial queries using the ` correlation ' fractal dimension,"alberto belussi , christos faloutsos",very large data bases,1995
B_1479,a cost model for clustered object-oriented databases,"georges gardarin , jean-robert gruser , zhao-hui tang",very large data bases,1995
B_1480,oodb bulk loading revisited : the partitioned-list approach,"janet l. wiener , jeffrey f. naughton",very large data bases,1995
B_1481,generalizing gloss to vector-space databases and broker hierarchies,"luis gravano , hector garcia-molina",very large data bases,1995
B_1482,redo recovery after system crashes,"david b. lomet , mark r. tuttle",very large data bases,1995
B_1483,performance of data-parallel spatial operations,"erik g. hoel , hanan samet",very large data bases,1994
B_1484,a transaction replication scheme for a replicated database with node autonomy,"ada wai-chee fu , david wai-lok cheung",very large data bases,1994
B_1485,memory-contention responsive hash joins,"diane l. davison , goetz graefe",very large data bases,1994
B_1486,on index selection schemes for nested object hierarchies,"sudarshan s. chawathe , ming-syan chen , philip s. yu",very large data bases,1994
B_1487,from nested-loop to join queries in oodb,"hennie j. steenhagen , peter m. g. apers , henk m. blanken , rolf a. de by",very large data bases,1994
B_1488,versant replication : supporting fault-tolerant object databases,"yuh-ming shyy , h. stephen au-yeung , c. p. chou",international conference on management of data,1995
B_1489,carnot and infosleuth : database technology and the world wide web,"d. woelk , b. bohrer , n. jacobs , k. ong , c. tomlinson , c. unnikrishnan",international conference on management of data,1995
B_1490,parallel database systems 101,jim gray,international conference on management of data,1995
B_1491,things every update replication customer should know ( abstract ),rob goldring,international conference on management of data,1995
B_1492,high availability of commercial applications,kestutis ivinskis,international conference on management of data,1995
B_1493,the data that you wo n't find in databases : tutorial panel on data exchange formats,"peter buneman , david maier",international conference on management of data,1995
B_1494,directv and oracle rdb : the challenge of vldb transaction processing,william l. gettys,international conference on management of data,1995
B_1495,enterprise transaction processing on windows nt,greg hope,international conference on management of data,1995
B_1496,upsizing form file server to client server architectures,corporate the access team microsoft,international conference on management of data,1995
B_1497,the lotus notes storage system,kenneth moore,international conference on management of data,1995
B_1498,join queries with external text sources : execution and optimization techniques,"surajit chaudhuri , umeshwar dayal , tak w. yan",international conference on management of data,1995
B_1499,"object-oriented , rapid application development in a pc database environment",corporate fox development team microsoft,international conference on management of data,1995
B_1500,a database interface for file update,"serge abiteboul , sophie cluet , tova milo",international conference on management of data,1995
B_1501,copy detection mechanisms for digital documents,"sergey brin , james davis , h &#233; ctor garc &#237; a-molina",international conference on management of data,1995
B_1502,fault tolerant design of multimedia servers,"steven berson , leana golubchik , richard r. muntz",international conference on management of data,1995
B_1503,an online video placement policy based on bandwidth to space ratio ( bsr ),"asit dan , dinkar sitaram",international conference on management of data,1995
B_1504,the spiffi scalable video-on-demand system,"craig s. freedman , david j. dewitt",international conference on management of data,1995
B_1505,efficient maintenance of materialized mediated views,"james j. lu , guido moerkotte , joachim schue , v. s. subrahmanian",international conference on management of data,1995
B_1506,incremental maintenance of views with duplicates,"timothy griffin , leonid libkin",international conference on management of data,1995
B_1507,view maintenance in a warehousing environment,"yue zhuge , h &#233; ctor garc &#237; a-molina , joachim hammer , jennifer widom",international conference on management of data,1995
B_1508,hypergraph based reorderings of outer join queries with complex predicates,"gautam bhargava , piyush goel , bala iyer",international conference on management of data,1995
B_1509,reducing multidatabase query response time by tree balancing,"weimin du , ming-chien shan , umeshwar dayal",international conference on management of data,1995
B_1510,dynamic resource brokering for multi-user query execution,"diane l. davison , goetz graefe",international conference on management of data,1995
B_1511,temporal conditions and integrity constraints in active database systems,"a. prasad sistla , ouri wolfson",international conference on management of data,1995
B_1512,semantic assumptions and query evaluation in temporal databases,"claudio bettini , x. sean wang , elisa bertino , sushil jajodia",international conference on management of data,1995
B_1513,applying update streams in a soft real-time database system,"b. adelberg , h. garcia-molina , b. kao",international conference on management of data,1995
B_1514,balancing histogram optimality and practicality for query result size estimation,"yannis e. ioannidis , viswanath poosala",international conference on management of data,1995
B_1515,enhancing database correctness : a statistical approach,"wen-chi hou , zhongyang zhang",international conference on management of data,1995
B_1516,adapting materialized views after redefinitions,"ashish gupta , inderpal s. mumick , kenneth a. ross",international conference on management of data,1995
B_1517,broadcast disks : data management for asymmetric communication environments,"swarup acharya , rafael alonso , michael franklin , stanley zdonik",international conference on management of data,1995
B_1518,implementing crash recovery in quickstore : a performance study,"seth j. white , david j. dewitt",international conference on management of data,1995
B_1519,an effective hash-based algorithm for mining association rules,"jong soo park , ming-syan chen , philip s. yu",international conference on management of data,1995
B_1520,"information translation , mediation , and mosaic-based browsing in the tsimmis system","joachim hammer , h &#233; ctor garc &#237; a-molina , kelly ireland , yannis papakonstantinou , jeffrey ullman , jennifer widom",international conference on management of data,1995
B_1521,semint : a system prototype for semantic integration in heterogeneous databases,"wen-syan li , chris clifton",international conference on management of data,1995
